iter	Passed	Remaining
0	2	252
1	4	244
2	6	222
3	8	197
4	9	188
5	11	181
6	13	176
7	14	172
8	16	169
9	18	169
10	21	171
11	23	173
12	25	173
13	28	174
14	30	174
15	33	173
16	35	173
17	37	172
18	40	171
19	42	168
20	43	165
21	45	162
22	48	161
23	50	159
24	52	156
25	53	152
26	55	149
27	56	146
28	58	143
29	60	140
30	62	138
31	63	135
32	65	132
33	67	130
34	68	127
35	70	124
36	71	122
37	73	119
38	74	117
39	76	114
40	77	111
41	78	108
42	79	105
43	81	103
44	82	101
45	84	99
46	85	96
47	87	94
48	88	92
49	90	90
50	91	88
51	93	86
52	94	84
53	96	82
54	97	79
55	98	77
56	100	75
57	101	73
58	103	71
59	104	69
60	106	68
61	108	66
62	109	64
63	111	62
64	112	60
65	114	58
66	115	57
67	117	55
68	118	53
69	120	51
70	122	50
71	123	48
72	125	46
73	126	44
74	128	42
75	129	41
76	131	39
77	133	37
78	134	35
79	136	34
80	137	32
81	139	30
82	140	28
83	141	27
84	143	25
85	144	23
86	146	21
87	147	20
88	149	18
89	151	16
90	152	15
91	154	13
92	155	11
93	157	10
94	158	8
95	159	6
96	161	4
97	162	3
98	164	1
99	165	0
