iter	Passed	Remaining
0	149	149734
1	151	75741
2	154	51264
3	156	38881
4	158	31442
5	159	26464
6	161	22894
7	163	20245
8	165	18232
9	167	16630
10	169	15240
11	171	14085
12	172	13109
13	174	12270
14	175	11542
15	177	10906
16	178	10348
17	181	9883
18	183	9459
19	184	9051
20	186	8685
21	187	8351
22	189	8048
23	190	7766
24	192	7511
25	194	7282
26	196	7094
27	198	6889
28	200	6697
29	201	6516
30	203	6350
31	204	6191
32	206	6044
33	207	5909
34	210	5791
35	212	5682
36	213	5563
37	215	5451
38	216	5343
39	218	5240
40	219	5142
41	221	5050
42	223	4965
43	226	4919
44	228	4846
45	229	4767
46	231	4691
47	232	4619
48	234	4550
49	236	4484
50	237	4423
51	240	4376
52	241	4317
53	243	4261
54	244	4204
55	246	4150
56	247	4098
57	249	4047
58	250	4001
59	252	3954
60	254	3925
61	256	3884
62	258	3844
63	260	3803
64	261	3762
65	263	3723
66	264	3685
67	266	3649
68	268	3622
69	270	3590
70	271	3556
71	273	3522
72	274	3489
73	276	3457
74	277	3425
75	279	3397
76	280	3367
77	282	3343
78	285	3323
79	286	3295
80	288	3268
81	289	3241
82	290	3207
83	291	3182
84	293	3161
85	295	3142
86	299	3139
87	301	3121
88	302	3101
89	304	3082
90	307	3068
91	309	3057
92	312	3051
93	315	3039
94	318	3038
95	322	3036
96	324	3018
97	326	3004
98	332	3025
99	335	3018
100	337	3007
101	339	2991
102	341	2975
103	345	2974
104	349	2976
105	352	2976
106	355	2966
107	357	2950
108	360	2946
109	364	2950
110	366	2939
111	368	2922
112	370	2908
113	372	2895
114	376	2898
115	378	2886
116	381	2881
117	383	2870
118	388	2876
119	394	2895
120	397	2887
121	400	2880
122	403	2874
123	408	2887
124	411	2882
125	414	2874
126	415	2859
127	418	2849
128	423	2860
129	426	2851
130	428	2840
131	430	2828
132	431	2816
133	433	2803
134	437	2801
135	442	2812
136	445	2804
137	447	2795
138	449	2785
139	455	2795
140	457	2788
141	459	2773
142	462	2769
143	464	2758
144	466	2753
145	469	2747
146	471	2738
147	474	2730
148	476	2721
149	480	2720
150	484	2723
151	486	2713
152	488	2705
153	491	2702
154	493	2690
155	495	2681
156	500	2685
157	502	2676
158	504	2666
159	506	2657
160	507	2644
161	509	2635
162	511	2624
163	513	2618
164	515	2608
165	517	2599
166	519	2591
167	521	2584
168	523	2574
169	525	2564
170	528	2561
171	530	2552
172	531	2541
173	533	2531
174	534	2521
175	536	2510
176	537	2500
177	539	2490
178	541	2482
179	544	2478
180	545	2469
181	547	2459
182	548	2450
183	550	2440
184	551	2430
185	553	2421
186	554	2412
187	556	2404
188	559	2398
189	560	2389
190	562	2380
191	563	2371
192	565	2363
193	566	2353
194	568	2345
195	569	2336
196	571	2330
197	573	2324
198	575	2316
199	576	2307
200	578	2299
201	579	2291
202	581	2282
203	582	2274
204	584	2266
205	586	2259
206	588	2253
207	590	2246
208	591	2238
209	593	2231
210	594	2223
211	596	2215
212	597	2208
213	599	2200
214	600	2192
215	603	2189
216	605	2183
217	606	2175
218	607	2168
219	609	2161
220	611	2153
221	612	2146
222	614	2139
223	615	2132
224	617	2128
225	619	2123
226	621	2116
227	623	2109
228	624	2102
229	626	2096
230	627	2089
231	629	2082
232	630	2076
233	632	2071
234	634	2066
235	636	2060
236	637	2053
237	639	2047
238	640	2040
239	642	2034
240	644	2028
241	645	2022
242	648	2018
243	649	2013
244	651	2007
245	652	2000
246	654	1995
247	655	1988
248	657	1982
249	658	1976
250	660	1970
251	662	1965
252	664	1961
253	665	1955
254	667	1949
255	668	1944
256	670	1939
257	672	1934
258	675	1931
259	677	1929
260	679	1925
261	682	1921
262	683	1916
263	685	1912
264	688	1908
265	690	1904
266	693	1904
267	696	1903
268	698	1898
269	700	1893
270	702	1888
271	704	1886
272	707	1885
273	711	1884
274	713	1879
275	715	1875
276	716	1870
277	719	1868
278	721	1863
279	725	1866
280	727	1861
281	729	1857
282	731	1854
283	733	1849
284	735	1845
285	737	1842
286	741	1840
287	742	1836
288	744	1832
289	746	1828
290	748	1823
291	750	1818
292	752	1814
293	754	1812
294	757	1810
295	759	1805
296	761	1801
297	762	1797
298	765	1794
299	767	1791
300	772	1794
301	776	1794
302	778	1789
303	780	1787
304	783	1784
305	786	1783
306	788	1779
307	790	1775
308	792	1772
309	794	1768
310	796	1764
311	798	1761
312	801	1758
313	802	1754
314	804	1750
315	806	1746
316	808	1742
317	810	1737
318	812	1733
319	814	1730
320	817	1728
321	818	1724
322	820	1719
323	823	1717
324	824	1713
325	826	1709
326	830	1709
327	832	1705
328	834	1701
329	835	1696
330	837	1692
331	838	1687
332	840	1683
333	842	1679
334	844	1677
335	847	1674
336	848	1669
337	850	1665
338	852	1661
339	853	1657
340	855	1653
341	857	1649
342	859	1646
343	861	1641
344	862	1637
345	864	1633
346	865	1628
347	867	1624
348	868	1620
349	870	1615
350	871	1611
351	874	1609
352	875	1605
353	877	1600
354	878	1596
355	880	1592
356	881	1588
357	883	1583
358	884	1579
359	886	1575
360	888	1572
361	890	1569
362	892	1565
363	893	1561
364	895	1557
365	896	1553
366	898	1549
367	900	1546
368	902	1544
369	905	1541
370	907	1537
371	908	1533
372	910	1530
373	911	1526
374	913	1522
375	915	1518
376	916	1514
377	919	1512
378	920	1508
379	922	1504
380	923	1501
381	925	1497
382	926	1493
383	928	1489
384	930	1485
385	931	1482
386	933	1479
387	935	1475
388	937	1471
389	938	1467
390	940	1464
391	941	1460
392	944	1459
393	946	1455
394	949	1453
395	951	1450
396	952	1447
397	955	1445
398	958	1444
399	964	1446
400	966	1444
401	968	1441
402	972	1440
403	975	1438
404	980	1440
405	984	1440
406	986	1437
407	988	1434
408	991	1432
409	996	1433
410	998	1431
411	1000	1428
412	1002	1425
413	1004	1422
414	1006	1418
415	1009	1416
416	1012	1415
417	1014	1412
418	1017	1410
419	1019	1407
420	1021	1404
421	1022	1400
422	1026	1399
423	1027	1396
424	1029	1392
425	1031	1389
426	1033	1386
427	1035	1383
428	1037	1380
429	1041	1380
430	1043	1377
431	1044	1373
432	1046	1370
433	1048	1367
434	1049	1363
435	1051	1360
436	1053	1356
437	1056	1355
438	1058	1352
439	1059	1348
440	1062	1346
441	1064	1343
442	1066	1340
443	1068	1337
444	1070	1335
445	1073	1333
446	1075	1330
447	1076	1326
448	1078	1323
449	1080	1320
450	1081	1316
451	1083	1313
452	1086	1311
453	1088	1308
454	1090	1305
455	1091	1302
456	1093	1299
457	1095	1296
458	1096	1292
459	1098	1289
460	1104	1291
461	1108	1290
462	1112	1290
463	1114	1287
464	1117	1285
465	1119	1283
466	1121	1280
467	1124	1278
468	1127	1275
469	1129	1273
470	1133	1273
471	1135	1270
472	1137	1267
473	1139	1264
474	1140	1260
475	1142	1257
476	1144	1254
477	1148	1254
478	1151	1252
479	1153	1249
480	1157	1249
481	1160	1246
482	1162	1244
483	1165	1242
484	1167	1239
485	1169	1236
486	1170	1233
487	1172	1230
488	1174	1226
489	1178	1226
490	1180	1224
491	1185	1223
492	1187	1221
493	1189	1218
494	1191	1215
495	1194	1213
496	1196	1211
497	1198	1208
498	1200	1205
499	1202	1202
500	1203	1199
501	1205	1196
502	1208	1194
503	1210	1191
504	1212	1188
505	1214	1185
506	1215	1182
507	1217	1179
508	1220	1177
509	1223	1175
510	1225	1172
511	1227	1169
512	1229	1166
513	1230	1163
514	1232	1160
515	1234	1157
516	1236	1155
517	1239	1153
518	1242	1151
519	1245	1150
520	1247	1146
521	1249	1144
522	1251	1141
523	1253	1138
524	1255	1135
525	1256	1132
526	1259	1130
527	1264	1130
528	1266	1128
529	1269	1125
530	1271	1122
531	1272	1119
532	1274	1116
533	1276	1113
534	1279	1112
535	1281	1109
536	1283	1106
537	1285	1103
538	1286	1100
539	1288	1097
540	1290	1094
541	1291	1091
542	1293	1088
543	1294	1085
544	1296	1082
545	1298	1079
546	1300	1077
547	1302	1074
548	1303	1071
549	1305	1068
550	1306	1064
551	1308	1061
552	1310	1058
553	1311	1055
554	1313	1053
555	1315	1050
556	1317	1047
557	1318	1044
558	1320	1041
559	1321	1038
560	1323	1035
561	1324	1032
562	1326	1029
563	1328	1027
564	1330	1024
565	1332	1021
566	1333	1018
567	1335	1015
568	1336	1012
569	1338	1009
570	1339	1006
571	1341	1003
572	1343	1001
573	1345	998
574	1347	995
575	1348	992
576	1350	989
577	1351	986
578	1353	983
579	1354	981
580	1356	978
581	1358	975
582	1360	973
583	1362	970
584	1363	967
585	1365	964
586	1366	961
587	1367	958
588	1369	955
589	1370	952
590	1372	950
591	1374	947
592	1376	944
593	1378	942
594	1380	939
595	1381	936
596	1383	933
597	1385	931
598	1386	928
599	1389	926
600	1391	923
601	1392	920
602	1394	918
603	1395	915
604	1397	912
605	1398	909
606	1400	906
607	1401	903
608	1404	901
609	1405	898
610	1407	896
611	1409	893
612	1410	890
613	1412	887
614	1413	884
615	1415	882
616	1417	879
617	1420	877
618	1422	875
619	1423	872
620	1425	870
621	1427	867
622	1429	864
623	1430	862
624	1434	860
625	1436	857
626	1437	855
627	1440	853
628	1442	850
629	1444	848
